datetime,open,high,low,close,volume
2025-04-29 15:46:00,211.0675,211.16,211.0612,211.12,19755.0
2025-04-29 15:47:00,211.13,211.13,210.96,211.01,27309.0
2025-04-29 15:48:00,211.02,211.0477,210.83,210.8412,30100.0
2025-04-29 15:49:00,210.8201,210.9495,210.76,210.8935,26022.0
2025-04-29 15:50:00,210.905,210.9846,210.87,210.9527,25923.0
2025-04-29 15:51:00,210.96,211.025,210.93,210.945,20480.0
2025-04-29 15:52:00,210.96,210.98,210.86,210.86,27609.0
2025-04-29 15:53:00,210.85,210.89,210.65,210.67,63121.0
2025-04-29 15:54:00,210.64,210.79,210.6,210.79,21076.0
2025-04-29 15:55:00,210.74,210.8897,210.7,210.875,22581.0
2025-04-29 15:56:00,210.8759,210.8759,210.708,210.76,28344.0
2025-04-29 15:57:00,210.75,210.76,210.5101,210.589,49696.0
2025-04-29 15:58:00,210.595,210.6888,210.58,210.67,23354.0
2025-04-29 15:59:00,210.665,210.7397,210.591,210.615,29788.0
2025-04-29 16:00:00,210.615,210.79,210.615,210.68223,36300.0
2025-04-29 16:01:00,210.68,210.7862,210.67,210.72,33845.0
2025-04-29 16:02:00,210.74,210.9099,210.72,210.87,28001.0
2025-04-29 16:03:00,210.885,210.97,210.87,210.95,37908.0
2025-04-29 16:04:00,210.95,211.0,210.92,210.98,30133.0
2025-04-29 16:05:00,210.99,211.15,210.98,211.14,54303.0
2025-04-29 16:06:00,211.15,211.2,211.135,211.18,25095.0
2025-04-29 16:07:00,211.18,211.19,211.071,211.09,23280.0
2025-04-29 16:08:00,211.105,211.179,211.09,211.175,20267.0
2025-04-29 16:09:00,211.18,211.3253,211.18,211.2009,56361.0
2025-04-29 16:10:00,211.21,211.2429,211.1,211.18,37655.0
2025-04-29 16:11:00,211.17,211.1799,211.02,211.0735,47057.0
2025-04-29 16:12:00,211.06,211.11,211.01,211.06,41156.0
2025-04-29 16:13:00,211.06,211.09,210.97,210.987,49691.0
2025-04-29 16:14:00,210.98,210.99,210.84,210.86,26128.0
2025-04-29 16:15:00,210.87,210.91,210.75,210.75,39254.0
2025-04-29 16:16:00,210.75,210.8326,210.71,210.8212,23612.0
2025-04-29 16:17:00,210.84,210.88,210.782,210.815,52036.0
2025-04-29 16:18:00,210.815,210.82,210.61,210.74,53337.0
2025-04-29 16:19:00,210.75,210.7545,210.52,210.6007,45678.0
2025-04-29 16:20:00,210.6,210.7713,210.55,210.72,32988.0
2025-04-29 16:21:00,210.725,210.74,210.62,210.7,21352.0
2025-04-29 16:22:00,210.7098,210.78,210.67,210.695,22830.0
2025-04-29 16:23:00,210.695,210.695,210.56,210.6296,36880.0
2025-04-29 16:24:00,210.63,210.64,210.5201,210.575,37590.0
2025-04-29 16:25:00,210.56,210.605,210.42,210.5,44964.0
2025-04-29 16:26:00,210.5396,210.6799,210.51,210.55,36798.0
2025-04-29 16:27:00,210.5455,210.56,210.45,210.53,61653.0
2025-04-29 16:28:00,210.534,211.0322,210.47,210.485,40222.0
2025-04-29 16:29:00,210.4909,210.51,210.44,210.488,32682.0
2025-04-29 16:30:00,210.47,210.5,210.31,210.35,81837.0
2025-04-29 16:31:00,210.33,210.43,210.28,210.33,57596.0
2025-04-29 16:32:00,210.34,210.41,210.29,210.4,26538.0
2025-04-29 16:33:00,210.4,210.5,210.38,210.4968,35594.0
2025-04-29 16:34:00,210.49,210.54,210.48,210.49,82126.0
2025-04-29 16:35:00,210.5,210.528,210.44,210.44,36857.0
2025-04-29 16:36:00,210.45,210.6193,210.45,210.59,73826.0
2025-04-29 16:37:00,210.59,210.5971,210.38,210.405,36588.0
2025-04-29 16:38:00,210.41,210.41,210.12,210.15,59442.0
2025-04-29 16:39:00,210.1713,210.27,210.13,210.22,34417.0
2025-04-29 16:40:00,210.225,210.38,210.22,210.35,29222.0
2025-04-29 16:41:00,210.36,210.54,210.34,210.52,31895.0
2025-04-29 16:42:00,210.52,210.62,210.43,210.46,64144.0
2025-04-29 16:43:00,210.485,210.55,210.46,210.53,33241.0
2025-04-29 16:44:00,210.54,210.55,210.46,210.515,24545.0
2025-04-29 16:45:00,210.5,210.52,210.25,210.295,41257.0
2025-04-29 16:46:00,210.29,210.39,210.11,210.202,65246.0
2025-04-29 16:47:00,210.174,210.21,210.0,210.07,62784.0
2025-04-29 16:48:00,210.1,210.1295,209.82,209.835,60625.0
2025-04-29 16:49:00,209.84,209.9044,209.66,209.85,47789.0
2025-04-29 16:50:00,209.8624,210.02,209.73,209.995,51782.0
2025-04-29 16:51:00,209.98,209.9999,209.7985,209.9438,33447.0
2025-04-29 16:52:00,209.9885,210.0499,209.92,209.995,30827.0
2025-04-29 16:53:00,209.98,210.07,209.93,210.0395,29642.0
2025-04-29 16:54:00,210.05,210.0966,210.0,210.005,34520.0
2025-04-29 16:55:00,210.01,210.03,209.72,209.74,47623.0
2025-04-29 16:56:00,209.74,209.74,209.38,209.48,94576.0
2025-04-29 16:57:00,209.4897,209.56,209.385,209.465,44505.0
2025-04-29 16:58:00,209.46,209.67,209.35,209.67,60354.0
2025-04-29 16:59:00,209.68,209.8,209.6504,209.7326,48799.0
2025-04-29 17:00:00,209.74,209.81,209.54,209.55,53668.0
2025-04-29 17:01:00,209.54,209.82,209.5,209.82,52632.0
2025-04-29 17:02:00,209.85,209.88,209.685,209.8,33848.0
2025-04-29 17:03:00,209.8,209.9,209.795,209.86,48849.0
2025-04-29 17:04:00,209.89,209.9897,209.82,209.97,38678.0
2025-04-29 17:05:00,209.98,209.99,209.77,209.81,36974.0
2025-04-29 17:06:00,209.8,209.99,209.8,209.9,28463.0
2025-04-29 17:07:00,209.88,210.03,209.88,209.96,61632.0
2025-04-29 17:08:00,209.96,210.02,209.9302,209.96,27331.0
2025-04-29 17:09:00,209.94,209.98,209.86,209.865,22824.0
2025-04-29 17:10:00,209.8758,209.9129,209.71,209.7527,36283.0
2025-04-29 17:11:00,209.75,209.93,209.71,209.76,25876.0
2025-04-29 17:12:00,209.7504,209.807,209.6156,209.71,33083.0
2025-04-29 17:13:00,209.69,209.97,209.69,209.93,28207.0
2025-04-29 17:14:00,209.95,209.98,209.88,209.98,29973.0
2025-04-29 17:15:00,209.96,210.04,209.945,209.97,27343.0
